标题,播放数,连接
2018上半年最热新歌TOP50,1130万,https://music.163.com/playlist?id=2303649893
点起一支烟，听一首粤语歌,1112万,https://music.163.com/playlist?id=2197936899
耳朵喜欢你 好听到可以单曲循环,3412万,https://music.163.com/playlist?id=2232237850
你的青春里有没有属于你的一首歌？,4367万,https://music.163.com/playlist?id=2201879658
〖纯音乐〗轻旋淡律，也可以抓住你的耳朵,959万,https://music.163.com/playlist?id=2235097256
【经典】聼一首老歌，想念一段时光,1141万,https://music.163.com/playlist?id=2236351380
『翻唱』百首经典翻唱 每首都能单曲循环,868万,https://music.163.com/playlist?id=2394477376
单循辑｜我想和你共享耳机,1764万,https://music.163.com/playlist?id=2337333174
我最大的遗憾，是你的遗憾与我有关,1080万,https://music.163.com/playlist?id=2201957752
失恋必听歌单 | 因为你突然听懂了很多歌,601万,https://music.163.com/playlist?id=2385384236
欧美对唱｜用最浪漫的副歌 你也轻轻的附和,584万,https://music.163.com/playlist?id=2333641827
表白撩妹歌曲|你还害怕没有对象吗,612万,https://music.163.com/playlist?id=2235991473
后来你哭了，想安慰却忘了早已换了身份,1527万,https://music.163.com/playlist?id=2218171336
『华语女声』糟糕！是心动的感觉,1435万,https://music.163.com/playlist?id=2259687728
这些歌名连起来，是我暗恋你多年的秘密,1749万,https://music.163.com/playlist?id=2301753292
十年林宥嘉：爱你这回事，整整十年,618万,https://music.163.com/playlist?id=2252293216
『高考过后怎么嗨』答案就在这里,637万,https://music.163.com/playlist?id=2260474995
欧美精选 | 嗨 伙计 要来首10w＋吗？,744万,https://music.163.com/playlist?id=2301227992
怀旧向||时光流转从前，人生如寄,552万,https://music.163.com/playlist?id=2348306362
失落少年孤独心俱乐部,673万,https://music.163.com/playlist?id=2323596120
Hip-hop | 少女心狙击手,550万,https://music.163.com/playlist?id=2340739428
你以为我不会走，我以为你会留,560万,https://music.163.com/playlist?id=2310048012
这都是什么神仙翻唱,618万,https://music.163.com/playlist?id=2392861247
风月无憾 | 你是我有关青春 最美的句读,608万,https://music.163.com/playlist?id=2324361508
『古风』催泪剪辑常用BGM,517万,https://music.163.com/playlist?id=2313063933
有故事的男生，唱着有故事的歌,856万,https://music.163.com/playlist?id=2333142183
听了几个故事，正好讲给你玩,637万,https://music.163.com/playlist?id=2298138241
给你一张2008年的CD。,988万,https://music.163.com/playlist?id=2352800595
【VIP专享】一周新歌推荐,1320万,https://music.163.com/playlist?id=2409342460
攒了一大堆好听的歌想和你一起听,2657万,https://music.163.com/playlist?id=2353471182
这世界上情歌那么多，却没有一首属于我,1707万,https://music.163.com/playlist?id=2335662972
予你情诗百首，余生你是我的所有,1712万,https://music.163.com/playlist?id=2230318386
还记得你的梦想吗？别让你的梦只有想,1020万,https://music.163.com/playlist?id=2219770152
“以前喜欢一个人，现在喜欢一个人”,955万,https://music.163.com/playlist?id=2329680016
翻唱比原唱好听系列（个人向）,830万,https://music.163.com/playlist?id=2250548490
“我爱你”的100种表达方式,800万,https://music.163.com/playlist?id=2314313405
安然面对孤独，不畏惧孤独感,699万,https://music.163.com/playlist?id=2360129270
提及年少一词，应与平庸相斥,612万,https://music.163.com/playlist?id=2255796408
别急，甜甜的恋爱马上就轮到你了,1092万,https://music.163.com/playlist?id=2430524968
提神醒脑 疯狂抖腿魔性摇头.GIF,1032万,https://music.163.com/playlist?id=2364146680
2018年九月最热新歌TOP50,764万,https://music.163.com/playlist?id=2448027211
100句情话我只唱给你听,733万,https://music.163.com/playlist?id=2339316534
把思恋化为等待，借歌名孤独自白,713万,https://music.163.com/playlist?id=2341435171
细数那些值得单曲循环的英文歌,1011万,https://music.163.com/playlist?id=2193563343
我不丧，只是在心情差时碰巧多听了几首歌,680万,https://music.163.com/playlist?id=2252736518
100种人生的态度，有没有你的归宿？,564万,https://music.163.com/playlist?id=2321983233
最是粤语最为情深 也唯独你最难忘怀,1006万,https://music.163.com/playlist?id=2388322013
在这些孤单角色里，你是否找到了自己？,558万,https://music.163.com/playlist?id=2440480388
我这么可爱 要不要试着喜欢我,693万,https://music.163.com/playlist?id=2261011675
